iter	RMSE
0	0.00703930867
1	0.006907919799
2	0.006848713785
3	0.006819463396
4	0.006811184978
5	0.006799755771
6	0.006799646667
7	0.006692512129
8	0.006657830821
9	0.006628311036
10	0.006579473706
11	0.006578862204
12	0.006532349792
13	0.006424192425
14	0.006181556897
15	0.005785946429
16	0.00529065684
17	0.005078337941
18	0.004946671322
19	0.004667794404
20	0.004545375048
21	0.004462362913
22	0.004361822365
23	0.004258697177
24	0.004196994768
25	0.00413410088
26	0.004063661136
27	0.003978414338
28	0.003895865804
29	0.003841802007
30	0.003770736859
31	0.003678246638
32	0.003628487193
33	0.003542439402
34	0.003505039709
35	0.00345437329
36	0.003397433995
37	0.003362630323
38	0.00322562084
39	0.003174346536
40	0.003136368648
41	0.003098136636
42	0.003060588433
43	0.00300644381
44	0.002962470974
45	0.002916968568
46	0.002878540054
47	0.002842659607
48	0.002824884782
49	0.002798827327
50	0.002779443842
51	0.00275803976
52	0.002719847457
53	0.002695212792
54	0.002667915348
55	0.002628980027
56	0.002597483355
57	0.002565440376
58	0.002549912979
59	0.002536580871
60	0.002488259622
61	0.002464306944
62	0.002450958504
63	0.002424447754
64	0.002392862948
65	0.002375096589
66	0.002364698657
67	0.002345211966
68	0.002307443103
69	0.002284768183
70	0.002268225269
71	0.002252787193
72	0.002239707185
73	0.002219916417
74	0.002201356088
75	0.002183090719
76	0.002164902105
77	0.002131349595
78	0.002105646528
79	0.002092238945
80	0.002077047816
81	0.002065780186
82	0.002050596298
83	0.002032620144
84	0.002015056394
85	0.001999530204
86	0.001981184493
87	0.001965785529
88	0.001936713166
89	0.001908598765
90	0.00188850026
91	0.001878484132
92	0.001864509364
93	0.001851587321
94	0.00183741248
95	0.001820517963
96	0.001806600624
97	0.001796163409
98	0.001780965805
99	0.001768890772
100	0.001749086605
101	0.001741812303
102	0.001719847965
103	0.001706594339
104	0.001689613439
105	0.001679565155
106	0.001671690206
107	0.00165660714
108	0.001645126493
109	0.001639154088
110	0.001628661167
111	0.001604984896
112	0.00159686606
113	0.001558705546
114	0.001550063246
115	0.001540838531
116	0.001529425619
117	0.001523109626
118	0.001509935658
119	0.001501844809
120	0.001477881946
121	0.001469998779
122	0.001461804646
123	0.001454406049
124	0.00144831688
125	0.001427030904
126	0.001415211407
127	0.001407038396
128	0.001401228946
129	0.001389713937
130	0.001382649413
131	0.001366730524
132	0.001363265398
133	0.001356269702
134	0.001351076595
135	0.001345250695
136	0.001312965
137	0.001299230486
138	0.001293750698
139	0.001276359613
140	0.001264230145
141	0.001255746336
142	0.001232853988
143	0.001215977638
144	0.001203350637
145	0.001194321742
146	0.001186490149
147	0.001180917499
148	0.001175242263
149	0.001171126418
150	0.001161938128
151	0.001151106369
152	0.001141423744
153	0.001132695184
154	0.00112578977
155	0.001120564677
156	0.001114837487
157	0.001105687807
158	0.001101343637
159	0.001096181989
160	0.001086306936
161	0.001073493723
162	0.001071184326
163	0.001063212807
164	0.001060134448
165	0.001054185238
166	0.001048704256
167	0.001039416593
168	0.001034066836
169	0.001029780658
170	0.001024930533
171	0.001022294233
172	0.001017935767
173	0.001006993393
174	0.00099809979
175	0.0009957354139
176	0.0009911555627
177	0.0009845226651
178	0.0009785143842
179	0.0009752873512
180	0.0009694938534
181	0.0009631794407
182	0.0009545633811
183	0.0009507650754
184	0.0009458031937
185	0.0009410619385
186	0.0009334083774
187	0.0009248187082
188	0.0009167005858
189	0.0009116581423
190	0.0009083622227
191	0.0009038681339
192	0.0008992521533
193	0.0008943859135
194	0.0008889574908
195	0.0008840218435
196	0.0008816393832
197	0.0008802043657
198	0.0008722216095
199	0.0008675268729
