ID,착과량(int)
TEST_0000,247.1677116492954
TEST_0001,753.7521845799364
TEST_0002,151.6994445953623
TEST_0003,448.4038937141849
TEST_0004,685.501592362777
TEST_0005,267.93794760122955
TEST_0006,86.32194898425429
TEST_0007,31.719372730448015
TEST_0008,353.35462710916903
TEST_0009,239.77934694817856
TEST_0010,561.4282063923828
TEST_0011,753.7521427121217
TEST_0012,448.9761256902756
TEST_0013,379.96324536774546
TEST_0014,60.71146208351452
TEST_0015,144.7589573407276
TEST_0016,469.5409117316785
TEST_0017,414.85353297356454
TEST_0018,247.30578204986227
TEST_0019,563.9123258127071
TEST_0020,248.2712584394744
TEST_0021,348.28744642278986
TEST_0022,449.4743866089786
TEST_0023,249.63150368315775
TEST_0024,152.21621480281436
TEST_0025,649.0283983233841
TEST_0026,169.02212030015053
TEST_0027,754.1486185113424
TEST_0028,646.3795890370859
TEST_0029,448.5790235437624
TEST_0030,33.87612110575527
TEST_0031,577.6568911855662
TEST_0032,650.1760802934439
TEST_0033,547.8240540389947
TEST_0034,553.4262593129267
TEST_0035,351.46724609650835
TEST_0036,249.76659066359028
TEST_0037,647.451162505282
TEST_0038,27.21542582013069
TEST_0039,448.37631497411553
TEST_0040,378.2465586611722
TEST_0041,150.97085197532095
TEST_0042,750.8009497403878
TEST_0043,66.67136162388772
TEST_0044,602.7005326730052
TEST_0045,348.9063299125938
TEST_0046,753.8644272583368
TEST_0047,472.5505580422072
TEST_0048,352.3086039373009
TEST_0049,448.8032055838134
TEST_0050,549.789071717629
TEST_0051,649.1480667313199
TEST_0052,402.53870943976267
TEST_0053,451.22495108642784
TEST_0054,362.59837940033424
TEST_0055,152.50513948497698
TEST_0056,754.4831962573973
TEST_0057,546.6200834936822
TEST_0058,557.1860130768883
TEST_0059,547.5509958314084
TEST_0060,448.40896710203253
TEST_0061,48.72641127627436
TEST_0062,546.4828978662719
TEST_0063,348.18137896023194
TEST_0064,523.9748334658877
TEST_0065,350.69473361853727
TEST_0066,461.5671799428108
TEST_0067,448.7307347424078
TEST_0068,152.10269133410372
TEST_0069,657.0967555824592
TEST_0070,751.8376094328576
TEST_0071,745.0702080533638
TEST_0072,648.1946514692233
TEST_0073,252.06195548679648
TEST_0074,152.11137464426778
TEST_0075,248.61839864784116
TEST_0076,151.11703544824627
TEST_0077,648.8712666830943
TEST_0078,751.4386108388506
TEST_0079,347.98078012543044
TEST_0080,249.9774283671569
TEST_0081,39.88878339728902
TEST_0082,56.650790753771574
TEST_0083,648.8703973672493
TEST_0084,631.0343546838075
TEST_0085,498.2258415123824
TEST_0086,248.92683668996065
TEST_0087,346.7640528730391
TEST_0088,49.889562543588085
TEST_0089,152.16222901319983
TEST_0090,45.206012307599124
TEST_0091,379.74527792655766
TEST_0092,542.9973502034624
TEST_0093,546.4293902055279
TEST_0094,542.1927858237773
TEST_0095,348.2510038919729
TEST_0096,249.09093694256526
TEST_0097,247.0855720772507
TEST_0098,239.67624913589768
TEST_0099,647.4436903357049
TEST_0100,700.7052931197279
TEST_0101,260.4179706768
TEST_0102,448.31210575893255
TEST_0103,552.746544206771
TEST_0104,226.2167941731128
TEST_0105,754.4394266161675
TEST_0106,150.43601900880753
TEST_0107,51.49254777969217
TEST_0108,448.98889150837516
TEST_0109,245.7460257773824
TEST_0110,648.8413427907801
TEST_0111,336.01406288591403
TEST_0112,572.425048736277
TEST_0113,450.5203370824354
TEST_0114,719.3916512185752
TEST_0115,152.17026812599377
TEST_0116,651.7132647832133
TEST_0117,648.8294332074832
TEST_0118,348.20269498264423
TEST_0119,471.0841504309556
TEST_0120,152.30364458475225
TEST_0121,448.96097062161147
TEST_0122,347.7569118871267
TEST_0123,545.6264027835275
TEST_0124,739.7382813899997
TEST_0125,552.1998628890952
TEST_0126,267.10288549718166
TEST_0127,563.6200854787854
TEST_0128,546.3799889297167
TEST_0129,349.91931147599496
TEST_0130,52.34647633927736
TEST_0131,248.643756665966
TEST_0132,469.9432829622141
TEST_0133,349.5340984852883
TEST_0134,115.93161398421799
TEST_0135,247.7638379656902
TEST_0136,757.8836956866419
TEST_0137,266.6000677025841
TEST_0138,151.76982371095252
TEST_0139,547.3688160247465
TEST_0140,755.7569986858601
TEST_0141,754.4072840807255
TEST_0142,240.41063788044403
TEST_0143,448.6700466298746
TEST_0144,39.55031708177073
TEST_0145,554.1194742728852
TEST_0146,248.73566056249464
TEST_0147,160.60471907693616
TEST_0148,146.01464444218433
TEST_0149,387.145458192903
TEST_0150,558.329256359128
TEST_0151,648.8933907247635
TEST_0152,754.1772165227997
TEST_0153,153.1571646477412
TEST_0154,546.0922802746426
TEST_0155,755.2339497603033
TEST_0156,517.7529127850664
TEST_0157,338.1675766132436
TEST_0158,152.26171006455488
TEST_0159,246.88736464604972
TEST_0160,546.3576611425103
TEST_0161,249.70100467881707
TEST_0162,207.49792141572186
TEST_0163,27.65338994239134
TEST_0164,548.1621297398518
TEST_0165,553.4035958598557
TEST_0166,603.6852102575893
TEST_0167,648.8997988097912
TEST_0168,553.8642196012645
TEST_0169,352.7064876200087
TEST_0170,649.6007078517367
TEST_0171,546.4741210243152
TEST_0172,452.1010347347202
TEST_0173,247.48716214671109
TEST_0174,747.4237328785066
TEST_0175,149.87252300634003
TEST_0176,251.18486860688517
TEST_0177,357.8230173948427
