ID,착과량(int)
TEST_0000,247.32109263497514
TEST_0001,754.5975750327764
TEST_0002,151.7036721860812
TEST_0003,449.0158653085159
TEST_0004,683.6070036241048
TEST_0005,269.82025125504134
TEST_0006,82.19908251551891
TEST_0007,31.337299402561477
TEST_0008,352.0114393576777
TEST_0009,240.85352756148157
TEST_0010,560.8682217000777
TEST_0011,754.7848802233498
TEST_0012,449.6543644595036
TEST_0013,376.14409755385805
TEST_0014,61.45054794840307
TEST_0015,145.6117346505429
TEST_0016,468.0185537507287
TEST_0017,411.41235140806094
TEST_0018,247.9419432954934
TEST_0019,563.0767497732218
TEST_0020,248.0755904710228
TEST_0021,349.49331299048424
TEST_0022,449.50850791483657
TEST_0023,249.86408742739286
TEST_0024,152.63146051008533
TEST_0025,648.8861324982491
TEST_0026,168.7075302805088
TEST_0027,754.6550552521859
TEST_0028,646.4146402684246
TEST_0029,448.9236150645208
TEST_0030,34.014864620343225
TEST_0031,575.9910666524772
TEST_0032,650.0709456230575
TEST_0033,551.1240788536564
TEST_0034,553.1912442091717
TEST_0035,351.4216382105144
TEST_0036,249.70610474507052
TEST_0037,647.5489938976568
TEST_0038,27.471083450374614
TEST_0039,449.26134216150666
TEST_0040,374.9810878156754
TEST_0041,151.4214538670776
TEST_0042,750.8946812022962
TEST_0043,68.13534114709825
TEST_0044,601.4347757104827
TEST_0045,349.2654499287342
TEST_0046,754.2401841012766
TEST_0047,467.7188143913779
TEST_0048,351.4371173017374
TEST_0049,448.64014427727784
TEST_0050,549.5199069026489
TEST_0051,649.289066457364
TEST_0052,408.9683156717781
TEST_0053,450.2253986113664
TEST_0054,358.07199201668294
TEST_0055,152.74206430352342
TEST_0056,754.5163387890801
TEST_0057,546.6128795845696
TEST_0058,556.0440543187507
TEST_0059,547.6544846555561
TEST_0060,449.03269751553665
TEST_0061,48.78913135911802
TEST_0062,547.2030643851466
TEST_0063,349.61682840178497
TEST_0064,525.1218266166799
TEST_0065,350.4077329943552
TEST_0066,458.27655850728894
TEST_0067,449.5023441347197
TEST_0068,151.9849375318742
TEST_0069,657.5121745461349
TEST_0070,752.6810271168542
TEST_0071,745.8563098641955
TEST_0072,648.2058512256323
TEST_0073,252.33709344243954
TEST_0074,152.325130927397
TEST_0075,249.13225844620356
TEST_0076,151.51377064677482
TEST_0077,648.7966194657334
TEST_0078,752.1344352801563
TEST_0079,349.5054922952007
TEST_0080,250.56204059922487
TEST_0081,40.00917218458996
TEST_0082,58.67401822384017
TEST_0083,648.7379020651128
TEST_0084,632.1035028547078
TEST_0085,499.73281311424626
TEST_0086,249.14019026769222
TEST_0087,348.0808704282541
TEST_0088,50.03270359664884
TEST_0089,150.84009535329403
TEST_0090,44.97695597891028
TEST_0091,374.3740673194074
TEST_0092,542.9760935959217
TEST_0093,546.1719843977668
TEST_0094,542.4301893444182
TEST_0095,349.01519920736956
TEST_0096,249.60216158225538
TEST_0097,247.63918260202044
TEST_0098,239.8462147600308
TEST_0099,647.3579508166515
TEST_0100,702.421837667566
TEST_0101,261.97041471404924
TEST_0102,449.1142642703347
TEST_0103,552.712528477711
TEST_0104,226.24314981021553
TEST_0105,753.5725172499704
TEST_0106,150.8646137457935
TEST_0107,51.37992657349747
TEST_0108,449.92383488925196
TEST_0109,246.11095410838527
TEST_0110,649.0262532568255
TEST_0111,335.29441661525965
TEST_0112,569.781202360152
TEST_0113,450.68931925503995
TEST_0114,715.6951809720792
TEST_0115,152.20803776725512
TEST_0116,652.3615389031103
TEST_0117,648.9049745245807
TEST_0118,350.7732754597043
TEST_0119,465.4046198657936
TEST_0120,152.45902967548457
TEST_0121,448.19201238073424
TEST_0122,348.7645710283601
TEST_0123,548.9703067906482
TEST_0124,739.1335080668581
TEST_0125,552.178009681007
TEST_0126,268.546203863043
TEST_0127,561.5738856092759
TEST_0128,546.5723130517616
TEST_0129,350.61309834320787
TEST_0130,51.77985187079097
TEST_0131,248.98447423693094
TEST_0132,464.72686205406296
TEST_0133,350.22504745330536
TEST_0134,112.81435085935618
TEST_0135,246.93073253667276
TEST_0136,756.9854025788892
TEST_0137,268.42793936396
TEST_0138,151.92335560291568
TEST_0139,547.4577394842372
TEST_0140,754.4344490545961
TEST_0141,754.7858610983695
TEST_0142,240.6128115588082
TEST_0143,448.92133524740336
TEST_0144,38.88613508192694
TEST_0145,553.4187858589764
TEST_0146,249.21086162305966
TEST_0147,160.76814015685292
TEST_0148,146.77840922609022
TEST_0149,394.2393306901116
TEST_0150,557.7378394007761
TEST_0151,649.0050560000311
TEST_0152,754.5395971332938
TEST_0153,153.16748269369975
TEST_0154,545.9845768125319
TEST_0155,755.0536388106876
TEST_0156,516.2361528213228
TEST_0157,342.9928390957912
TEST_0158,152.35432539160965
TEST_0159,247.5006451340603
TEST_0160,546.2865112020289
TEST_0161,250.5270637490921
TEST_0162,209.26337032930118
TEST_0163,27.889216951366173
TEST_0164,548.4630046835211
TEST_0165,552.816726487628
TEST_0166,603.0211337038816
TEST_0167,648.8251515924303
TEST_0168,553.1046315244795
TEST_0169,351.9497427454341
TEST_0170,649.537392258613
TEST_0171,546.2462124170321
TEST_0172,450.92988173378905
TEST_0173,248.44612297904746
TEST_0174,749.0100227234834
TEST_0175,150.0503870046981
TEST_0176,250.83948668335725
TEST_0177,354.5171588875536
TEST_0178,151.14526819729167
TEST_0179,349.43993752005116
TEST_0180,263.1282974196696
TEST_0181,350.32732728841484
TEST_0182,450.36067228118384
TEST_0183,249.04760369735368
TEST_0184,754.3250029208525
TEST_0185,545.8067881103549
TEST_0186,346.81443444963
TEST_0187,650.1843822053133
TEST_0188,647.8376001052379
TEST_0189,243.19442128633386
TEST_0190,649.0159448766801
TEST_0191,151.07121073922968
TEST_0192,351.186977185946
TEST_0193,648.430481489971
TEST_0194,648.8753135795927
TEST_0195,753.8344184386992
TEST_0196,250.63336248239722
TEST_0197,96.5242732277172
TEST_0198,248.29732181341237
TEST_0199,28.086394452485507
TEST_0200,150.07566444370138
TEST_0201,348.4423119284
TEST_0202,247.86599815238472
TEST_0203,152.2861803947222
TEST_0204,447.71715847722874
TEST_0205,349.5901847399678
TEST_0206,49.994571025894395
TEST_0207,302.0452904100884
TEST_0208,265.7294528551302
TEST_0209,459.2493310290725
TEST_0210,459.04548765225815
TEST_0211,169.08038857616086
TEST_0212,241.3616323571044
TEST_0213,558.9786648845733
TEST_0214,348.85328601112275
TEST_0215,29.053555358536446
TEST_0216,752.2392116314973
TEST_0217,152.4598623952203
TEST_0218,449.7314034443475
TEST_0219,448.23608987696997
TEST_0220,151.76150014507584
TEST_0221,349.2236568050009
